LAMBDA,NOISE_TEMPERATURE,h_NULL,h_LR,j,dag,nshd_c,tpr_c,size
100.0,0.01,0.01,0.0001,249,2,5.2667,0.225,200
100.0,0.01,0.01,0.0001,249,3,9.6333,0.1386,332
100.0,0.01,0.01,0.0001,249,4,4.6,0.1553,161
100.0,0.01,0.01,0.0001,249,5,5.7333,0.1972,213
100.0,0.01,0.01,0.0001,249,6,6.0333,0.1759,216
100.0,0.01,0.01,0.0001,249,7,6.0667,0.207,227
100.0,0.01,0.01,0.0001,249,8,5.7333,0.2019,213
100.0,0.01,0.01,0.0001,249,9,8.2667,0.1398,279
100.0,0.01,0.01,0.0001,249,10,4.8667,0.1944,180
100.0,0.01,0.01,0.0001,249,11,7.1333,0.1923,260
100.0,0.01,0.01,0.0001,249,12,4.6667,0.209,177
100.0,0.01,0.01,0.0001,249,13,6.8,0.1653,242
100.0,0.01,0.01,0.0001,249,14,6.0333,0.1611,211
100.0,0.01,0.01,0.0001,249,15,3.8333,0.2028,143
100.0,0.01,0.01,0.0001,249,16,4.0,0.2258,155
100.0,0.01,0.01,0.0001,249,17,4.4667,0.1928,166
100.0,0.01,0.01,0.0001,249,18,4.4,0.2025,163
100.0,0.01,0.01,0.0001,249,19,5.0,0.1989,186
100.0,0.01,0.01,0.0001,249,20,7.4667,0.1544,259
100.0,0.01,0.01,0.0001,249,21,5.1,0.2165,194
100.0,0.01,0.01,0.0001,249,22,7.0667,0.1706,252
100.0,0.01,0.01,0.0001,249,23,4.1,0.2166,157
0.1,1.0,1.0,0.1,60,0,7.6333,0.1575,254
0.1,1.0,1.0,0.1,60,1,8.4,0.1292,271
0.1,1.0,1.0,0.1,60,2,8.4,0.13,277
0.1,1.0,1.0,0.1,60,3,7.5333,0.1394,251
0.1,1.0,1.0,0.1,60,4,7.8667,0.0847,248
0.1,1.0,1.0,0.1,60,5,8.1333,0.1119,268
0.1,1.0,1.0,0.1,60,6,7.8,0.1484,256
0.1,1.0,1.0,0.1,60,7,7.7667,0.1467,259
0.1,1.0,1.0,0.1,60,8,8.0333,0.1381,268
0.1,1.0,1.0,0.1,60,9,7.9,0.1351,259
0.1,1.0,1.0,0.1,60,10,8.1,0.0898,256
0.1,1.0,1.0,0.1,60,11,7.2333,0.1825,252
0.1,1.0,1.0,0.1,60,12,7.6333,0.1163,258
0.1,1.0,1.0,0.1,60,13,8.1,0.1103,263
0.1,1.0,1.0,0.1,60,14,7.7,0.1265,253
0.1,1.0,1.0,0.1,60,15,8.1,0.0947,264
0.1,1.0,1.0,0.1,60,16,7.8333,0.1197,259
0.1,1.0,1.0,0.1,60,17,7.6667,0.1,250
0.1,1.0,1.0,0.1,60,18,7.8333,0.1063,254
0.1,1.0,1.0,0.1,60,19,7.9,0.1321,265
0.1,1.0,1.0,0.1,60,20,8.0667,0.1301,269
0.1,1.0,1.0,0.1,60,21,7.5333,0.1544,259
0.1,1.0,1.0,0.1,60,22,8.1333,0.1024,254
0.1,1.0,1.0,0.1,60,23,8.1,0.1209,273
100.0,1.0,0.001,0.0001,285,0,9.8,0.1353,340
100.0,1.0,0.001,0.0001,285,1,9.6,0.1633,343
100.0,1.0,0.001,0.0001,285,2,8.5333,0.1721,308
100.0,1.0,0.001,0.0001,285,3,10.1667,0.1188,345
100.0,1.0,0.001,0.0001,285,4,7.3333,0.1165,249
100.0,1.0,0.001,0.0001,285,5,8.1333,0.1498,287
100.0,1.0,0.001,0.0001,285,6,10.1333,0.1497,354
100.0,1.0,0.001,0.0001,285,7,10.2333,0.1236,348
100.0,1.0,0.001,0.0001,285,8,9.3333,0.1541,331
100.0,1.0,0.001,0.0001,285,9,10.7333,0.1108,361
100.0,1.0,0.001,0.0001,285,10,8.7667,0.1208,298
100.0,1.0,0.001,0.0001,285,11,9.5333,0.1618,340
100.0,1.0,0.001,0.0001,285,12,7.8667,0.1338,269
100.0,1.0,0.001,0.0001,285,13,8.6,0.1318,296
100.0,1.0,0.001,0.0001,285,14,9.8,0.1327,339
100.0,1.0,0.001,0.0001,285,15,6.4667,0.1565,230
100.0,1.0,0.001,0.0001,285,16,8.2667,0.1359,287
100.0,1.0,0.001,0.0001,285,17,8.5667,0.1288,295
100.0,1.0,0.001,0.0001,285,18,7.8667,0.1392,273
100.0,1.0,0.001,0.0001,285,19,10.3667,0.1095,347
100.0,1.0,0.001,0.0001,285,20,10.5667,0.1051,352
100.0,1.0,0.001,0.0001,285,21,9.4,0.1407,327
100.0,1.0,0.001,0.0001,285,22,9.8333,0.1205,332
100.0,1.0,0.001,0.0001,285,23,7.1,0.1587,252
100.0,10.0,0.001,0.01,307,0,8.0667,0.1672,287
100.0,10.0,0.001,0.01,307,1,8.1333,0.1769,294
100.0,10.0,0.001,0.01,307,2,6.2333,0.2305,243
100.0,10.0,0.001,0.01,307,3,9.9667,0.1239,339
