LAMBDA,NOISE_TEMPERATURE,h_NULL,h_LR,j,dag,nshd_c,tpr_c,size
10.0,0.1,0.0,0.001,182,14,6.4333,0.1696,230
10.0,0.1,0.0,0.001,182,15,5.1667,0.1492,181
10.0,0.1,0.0,0.001,182,16,4.3667,0.2108,166
10.0,0.1,0.0,0.001,182,17,5.3333,0.1505,186
10.0,0.1,0.0,0.001,182,18,5.0,0.2021,188
10.0,0.1,0.0,0.001,182,19,4.8,0.221,181
10.0,0.1,0.0,0.001,182,20,6.2,0.1982,227
10.0,0.1,0.0,0.001,182,21,6.1,0.1982,227
10.0,0.1,0.0,0.001,182,22,6.3,0.2076,236
10.0,0.1,0.0,0.001,182,23,5.7333,0.1857,210
100.0,0.01,1.0,0.1,260,0,8.3667,0.063,238
100.0,0.01,1.0,0.1,260,1,8.6667,0.0688,247
100.0,0.01,1.0,0.1,260,2,9.0667,0.0684,263
100.0,0.01,1.0,0.1,260,3,8.9667,0.0679,265
100.0,0.01,1.0,0.1,260,4,8.5667,0.044,250
100.0,0.01,1.0,0.1,260,5,8.7,0.0739,257
100.0,0.01,1.0,0.1,260,6,8.8,0.0817,257
100.0,0.01,1.0,0.1,260,7,8.2667,0.0857,245
100.0,0.01,1.0,0.1,260,8,8.2667,0.0661,242
100.0,0.01,1.0,0.1,260,9,8.7,0.0496,242
100.0,0.01,1.0,0.1,260,10,8.7667,0.0613,261
100.0,0.01,1.0,0.1,260,11,8.9333,0.0858,268
100.0,0.01,1.0,0.1,260,12,8.7667,0.0476,252
100.0,0.01,1.0,0.1,260,13,8.4,0.0415,241
100.0,0.01,1.0,0.1,260,14,8.6333,0.0637,251
100.0,0.01,1.0,0.1,260,15,8.1333,0.0617,243
100.0,0.01,1.0,0.1,260,16,8.8333,0.0469,256
100.0,0.01,1.0,0.1,260,17,8.7,0.0586,256
100.0,0.01,1.0,0.1,260,18,8.8667,0.0871,264
100.0,0.01,1.0,0.1,260,19,8.2,0.0891,247
100.0,0.01,1.0,0.1,260,20,8.2333,0.0615,244
100.0,0.01,1.0,0.1,260,21,8.8667,0.0618,259
100.0,0.01,1.0,0.1,260,22,8.5,0.0916,251
100.0,0.01,1.0,0.1,260,23,8.2,0.0726,248
0.1,10.0,0.0,0.01,63,0,7.3667,0.1849,265
0.1,10.0,0.0,0.01,63,1,7.6333,0.1957,281
0.1,10.0,0.0,0.01,63,2,6.6333,0.2105,247
0.1,10.0,0.0,0.01,63,3,8.4333,0.1544,298
0.1,10.0,0.0,0.01,63,4,6.4,0.1409,220
0.1,10.0,0.0,0.01,63,5,6.4,0.1754,228
0.1,10.0,0.0,0.01,63,6,8.1,0.1672,287
0.1,10.0,0.0,0.01,63,7,7.9667,0.1731,283
0.1,10.0,0.0,0.01,63,8,7.0333,0.185,254
0.1,10.0,0.0,0.01,63,9,8.1,0.148,277
0.1,10.0,0.0,0.01,63,10,6.6,0.1478,230
0.1,10.0,0.0,0.01,63,11,7.5333,0.1832,273
0.1,10.0,0.0,0.01,63,12,5.9333,0.1714,210
0.1,10.0,0.0,0.01,63,13,6.1,0.1682,214
0.1,10.0,0.0,0.01,63,14,7.1333,0.17,253
0.1,10.0,0.0,0.01,63,15,5.0333,0.1902,184
0.1,10.0,0.0,0.01,63,16,6.4667,0.1623,228
0.1,10.0,0.0,0.01,63,17,6.2333,0.1659,223
0.1,10.0,0.0,0.01,63,18,6.1333,0.1818,220
0.1,10.0,0.0,0.01,63,19,7.5333,0.1583,259
0.1,10.0,0.0,0.01,63,20,8.5667,0.1365,293
0.1,10.0,0.0,0.01,63,21,7.0333,0.1797,256
0.1,10.0,0.0,0.01,63,22,7.7,0.1573,267
0.1,10.0,0.0,0.01,63,23,5.5,0.202,203
1.0,0.1,0.0,0.1,104,0,8.6333,0.1404,285
1.0,0.1,0.0,0.1,104,1,8.1667,0.1358,265
1.0,0.1,0.0,0.1,104,2,7.9667,0.1004,249
1.0,0.1,0.0,0.1,104,3,8.9667,0.1107,280
1.0,0.1,0.0,0.1,104,4,7.0667,0.1027,224
1.0,0.1,0.0,0.1,104,5,8.0667,0.1004,259
1.0,0.1,0.0,0.1,104,6,7.9333,0.1269,260
1.0,0.1,0.0,0.1,104,7,8.1667,0.1069,262
1.0,0.1,0.0,0.1,104,8,8.5667,0.0933,268
1.0,0.1,0.0,0.1,104,9,7.8,0.123,252
1.0,0.1,0.0,0.1,104,10,8.0,0.0843,249
1.0,0.1,0.0,0.1,104,11,8.0667,0.1396,265
1.0,0.1,0.0,0.1,104,12,7.4333,0.1198,242
1.0,0.1,0.0,0.1,104,13,8.0667,0.0924,249
1.0,0.1,0.0,0.1,104,14,8.0,0.0873,252
1.0,0.1,0.0,0.1,104,15,7.9,0.0581,241
1.0,0.1,0.0,0.1,104,16,7.0667,0.113,230
1.0,0.1,0.0,0.1,104,17,7.4667,0.1046,239
1.0,0.1,0.0,0.1,104,18,7.2333,0.0925,227
1.0,0.1,0.0,0.1,104,19,7.8667,0.1176,255
1.0,0.1,0.0,0.1,104,20,7.7,0.1042,240
1.0,0.1,0.0,0.1,104,21,7.7333,0.1053,247
1.0,0.1,0.0,0.1,104,22,8.2333,0.0969,258
1.0,0.1,0.0,0.1,104,23,7.3,0.0952,231
0.1,0.01,0.01,0.0001,9,0,8.2,0.1418,275
0.1,0.01,0.01,0.0001,9,1,8.0,0.172,279
0.1,0.01,0.01,0.0001,9,2,7.7667,0.1599,269
0.1,0.01,0.01,0.0001,9,3,8.7667,0.1356,295
0.1,0.01,0.01,0.0001,9,4,8.0,0.102,255
0.1,0.01,0.01,0.0001,9,5,8.1,0.1434,279
0.1,0.01,0.01,0.0001,9,6,8.0,0.1496,274
0.1,0.01,0.01,0.0001,9,7,8.0,0.145,269
0.1,0.01,0.01,0.0001,9,8,8.0,0.1625,277
0.1,0.01,0.01,0.0001,9,9,8.3667,0.1268,276
0.1,0.01,0.01,0.0001,9,10,8.0,0.1203,266
0.1,0.01,0.01,0.0001,9,11,7.7333,0.1795,273
0.1,0.01,0.01,0.0001,9,12,8.3333,0.1055,275
0.1,0.01,0.01,0.0001,9,13,8.2333,0.1164,275
0.1,0.01,0.01,0.0001,9,14,7.7333,0.1504,266
0.1,0.01,0.01,0.0001,9,15,8.5667,0.1088,285
0.1,0.01,0.01,0.0001,9,16,8.3,0.1246,281
0.1,0.01,0.01,0.0001,9,17,8.0333,0.1255,271
0.1,0.01,0.01,0.0001,9,18,7.6333,0.1412,262
0.1,0.01,0.01,0.0001,9,19,7.9667,0.1365,271
0.1,0.01,0.01,0.0001,9,20,7.9667,0.1533,274
0.1,0.01,0.01,0.0001,9,21,8.1667,0.1514,284
0.1,0.01,0.01,0.0001,9,22,8.0667,0.1541,279
0.1,0.01,0.01,0.0001,9,23,7.8,0.1407,270
0.1,0.1,0.001,0.1,28,0,8.8667,0.0981,265
0.1,0.1,0.001,0.1,28,1,8.0667,0.1,250
0.1,0.1,0.001,0.1,28,2,7.9333,0.1289,256
0.1,0.1,0.001,0.1,28,3,8.2333,0.1226,261
0.1,0.1,0.001,0.1,28,4,8.1333,0.0502,239
0.1,0.1,0.001,0.1,28,5,8.2667,0.094,266
0.1,0.1,0.001,0.1,28,6,8.7667,0.0978,276
0.1,0.1,0.001,0.1,28,7,8.2333,0.1241,266
0.1,0.1,0.001,0.1,28,8,8.8333,0.0929,280
0.1,0.1,0.001,0.1,28,9,7.6333,0.122,246
0.1,0.1,0.001,0.1,28,10,8.3333,0.0909,264
0.1,0.1,0.001,0.1,28,11,8.6667,0.1131,274
0.1,0.1,0.001,0.1,28,12,8.4333,0.0977,266
0.1,0.1,0.001,0.1,28,13,8.6667,0.0945,275
0.1,0.1,0.001,0.1,28,14,8.0333,0.1133,256
0.1,0.1,0.001,0.1,28,15,7.9667,0.0607,247
0.1,0.1,0.001,0.1,28,16,8.5667,0.0952,273
0.1,0.1,0.001,0.1,28,17,8.2667,0.0843,261
0.1,0.1,0.001,0.1,28,18,7.9667,0.075,240
0.1,0.1,0.001,0.1,28,19,8.8333,0.0772,272
0.1,0.1,0.001,0.1,28,20,8.0333,0.0927,248
0.1,0.1,0.001,0.1,28,21,8.6667,0.0889,270
0.1,0.1,0.001,0.1,28,22,7.6333,0.1276,243
0.1,0.1,0.001,0.1,28,23,7.5333,0.1093,247
100.0,0.01,0.001,0.01,247,0,8.4333,0.1136,264
100.0,0.01,0.001,0.01,247,1,8.9333,0.1154,286
100.0,0.01,0.001,0.01,247,2,8.7667,0.1259,294
100.0,0.01,0.001,0.01,247,3,9.4667,0.1325,317
100.0,0.01,0.001,0.01,247,4,8.8,0.0854,281
100.0,0.01,0.001,0.01,247,5,8.8667,0.1212,297
100.0,0.01,0.001,0.01,247,6,9.6333,0.1023,303
100.0,0.01,0.001,0.01,247,7,8.8,0.1189,286
100.0,0.01,0.001,0.01,247,8,9.2,0.1122,294
100.0,0.01,0.001,0.01,247,9,9.2333,0.1192,302
100.0,0.01,0.001,0.01,247,10,8.9,0.0903,288
100.0,0.01,0.001,0.01,247,11,8.9,0.1099,282
100.0,0.01,0.001,0.01,247,12,8.8,0.1153,295
100.0,0.01,0.001,0.01,247,13,8.2333,0.0923,260
100.0,0.01,0.001,0.01,247,14,9.2667,0.1148,305
100.0,0.01,0.001,0.01,247,15,8.4,0.0975,277
100.0,0.01,0.001,0.01,247,16,8.6667,0.0922,282
100.0,0.01,0.001,0.01,247,17,8.6333,0.0851,282
100.0,0.01,0.001,0.01,247,18,8.6333,0.1053,285
100.0,0.01,0.001,0.01,247,19,9.2333,0.1133,300
100.0,0.01,0.001,0.01,247,20,8.3667,0.082,256
100.0,0.01,0.001,0.01,247,21,9.0667,0.0833,288
100.0,0.01,0.001,0.01,247,22,8.9,0.1107,289
100.0,0.01,0.001,0.01,247,23,8.9,0.0997,291
100.0,10.0,1.0,0.01,319,0,8.1,0.1643,286
100.0,10.0,1.0,0.01,319,1,8.4333,0.1711,304
100.0,10.0,1.0,0.01,319,2,5.9,0.2381,231
100.0,10.0,1.0,0.01,319,3,9.8667,0.1302,338
100.0,10.0,1.0,0.01,319,4,6.1333,0.1244,209
100.0,10.0,1.0,0.01,319,5,7.3667,0.1565,262
100.0,10.0,1.0,0.01,319,6,8.3,0.1541,292
100.0,10.0,1.0,0.01,319,7,8.6333,0.1376,298
100.0,10.0,1.0,0.01,319,8,7.6333,0.1498,267
100.0,10.0,1.0,0.01,319,9,9.9333,0.1265,340
100.0,10.0,1.0,0.01,319,10,5.7333,0.1667,204
100.0,10.0,1.0,0.01,319,11,8.9667,0.1524,315
100.0,10.0,1.0,0.01,319,12,6.0667,0.1596,213
100.0,10.0,1.0,0.01,319,13,7.4333,0.1553,264
100.0,10.0,1.0,0.01,319,14,8.3667,0.1497,294
100.0,10.0,1.0,0.01,319,15,4.2667,0.1847,157
100.0,10.0,1.0,0.01,319,16,5.5333,0.1981,207
100.0,10.0,1.0,0.01,319,17,5.9667,0.1636,214
100.0,10.0,1.0,0.01,319,18,5.8333,0.1754,211
100.0,10.0,1.0,0.01,319,19,7.1,0.1581,253
100.0,10.0,1.0,0.01,319,20,8.7,0.1367,300
100.0,10.0,1.0,0.01,319,21,7.3,0.1589,258
100.0,10.0,1.0,0.01,319,22,8.2,0.1509,285
100.0,10.0,1.0,0.01,319,23,5.5,0.1717,198
100.0,0.01,1.0,0.0001,257,0,8.8,0.0958,261
100.0,0.01,1.0,0.0001,257,1,8.8,0.0909,264
100.0,0.01,1.0,0.0001,257,2,8.5667,0.0787,254
100.0,0.01,1.0,0.0001,257,3,8.5333,0.0735,245
100.0,0.01,1.0,0.0001,257,4,8.4667,0.0692,260
100.0,0.01,1.0,0.0001,257,5,8.5333,0.0488,246
100.0,0.01,1.0,0.0001,257,6,8.8333,0.0837,263
100.0,0.01,1.0,0.0001,257,7,8.4667,0.0675,252
100.0,0.01,1.0,0.0001,257,8,8.6333,0.0643,249
100.0,0.01,1.0,0.0001,257,9,8.6667,0.0451,244
100.0,0.01,1.0,0.0001,257,10,9.1333,0.034,265
100.0,0.01,1.0,0.0001,257,11,8.6333,0.0787,254
100.0,0.01,1.0,0.0001,257,12,8.9333,0.0321,249
100.0,0.01,1.0,0.0001,257,13,8.5,0.0607,247
100.0,0.01,1.0,0.0001,257,14,9.0333,0.0604,265
100.0,0.01,1.0,0.0001,257,15,8.8333,0.0421,261
100.0,0.01,1.0,0.0001,257,16,8.5667,0.0403,248
100.0,0.01,1.0,0.0001,257,17,8.8333,0.0722,263
100.0,0.01,1.0,0.0001,257,18,8.8333,0.0579,259
100.0,0.01,1.0,0.0001,257,19,8.6333,0.0635,252
100.0,0.01,1.0,0.0001,257,20,9.3667,0.024,250
100.0,0.01,1.0,0.0001,257,21,8.7333,0.0913,263
100.0,0.01,1.0,0.0001,257,22,9.1667,0.0746,268
100.0,0.01,1.0,0.0001,257,23,9.3,0.037,270
100.0,1.0,0.001,0.001,286,0,8.3333,0.1633,294
100.0,1.0,0.001,0.001,286,1,8.4667,0.1738,305
100.0,1.0,0.001,0.001,286,2,6.3333,0.2134,239
100.0,1.0,0.001,0.001,286,3,9.9667,0.1362,345
100.0,1.0,0.001,0.001,286,4,6.1,0.125,208
100.0,1.0,0.001,0.001,286,5,7.2667,0.155,258
100.0,1.0,0.001,0.001,286,6,8.4333,0.1549,297
100.0,1.0,0.001,0.001,286,7,8.3667,0.1531,294
100.0,1.0,0.001,0.001,286,8,7.2667,0.1749,263
100.0,1.0,0.001,0.001,286,9,9.7333,0.1287,334
100.0,1.0,0.001,0.001,286,10,6.4,0.1623,228
100.0,1.0,0.001,0.001,286,11,8.6667,0.1485,303
100.0,1.0,0.001,0.001,286,12,6.0667,0.1517,211
100.0,1.0,0.001,0.001,286,13,7.3,0.1577,260
100.0,1.0,0.001,0.001,286,14,8.2,0.1522,289
100.0,1.0,0.001,0.001,286,15,4.2667,0.1899,158
100.0,1.0,0.001,0.001,286,16,5.3667,0.191,199
100.0,1.0,0.001,0.001,286,17,6.0,0.1628,215
100.0,1.0,0.001,0.001,286,18,6.0,0.1751,217
100.0,1.0,0.001,0.001,286,19,7.2,0.1562,256
100.0,1.0,0.001,0.001,286,20,9.0,0.1303,307
100.0,1.0,0.001,0.001,286,21,7.3333,0.1679,262
100.0,1.0,0.001,0.001,286,22,8.4,0.1507,292
100.0,1.0,0.001,0.001,286,23,5.9333,0.1571,210
1.0,0.1,0.001,0.01,107,0,7.7333,0.1429,259
1.0,0.1,0.001,0.01,107,1,7.8667,0.124,258
1.0,0.1,0.001,0.01,107,2,7.3667,0.1756,262
1.0,0.1,0.001,0.01,107,3,7.6333,0.1805,277
1.0,0.1,0.001,0.01,107,4,8.0667,0.0729,247
1.0,0.1,0.001,0.01,107,5,8.0,0.1282,273
1.0,0.1,0.001,0.01,107,6,8.0667,0.1179,263
1.0,0.1,0.001,0.01,107,7,7.0333,0.1564,243
1.0,0.1,0.001,0.01,107,8,7.2333,0.1581,253
1.0,0.1,0.001,0.01,107,9,8.0667,0.1273,267
1.0,0.1,0.001,0.01,107,10,7.2333,0.1092,238
1.0,0.1,0.001,0.01,107,11,7.7667,0.1739,276
1.0,0.1,0.001,0.01,107,12,8.4667,0.0949,274
1.0,0.1,0.001,0.01,107,13,8.0667,0.1227,269
1.0,0.1,0.001,0.01,107,14,7.4667,0.1344,253
1.0,0.1,0.001,0.01,107,15,7.6,0.0894,246
1.0,0.1,0.001,0.01,107,16,7.4667,0.1255,255
1.0,0.1,0.001,0.01,107,17,7.1333,0.1208,240
1.0,0.1,0.001,0.01,107,18,7.2,0.1055,237
1.0,0.1,0.001,0.01,107,19,7.8333,0.0988,253
1.0,0.1,0.001,0.01,107,20,7.1,0.1592,245
1.0,0.1,0.001,0.01,107,21,7.6333,0.1636,269
1.0,0.1,0.001,0.01,107,22,7.8333,0.1333,255
1.0,0.1,0.001,0.01,107,23,7.9,0.098,255
0.1,0.1,0.01,0.01,31,0,7.6667,0.1595,257
0.1,0.1,0.01,0.01,31,1,8.2667,0.1381,268
0.1,0.1,0.01,0.01,31,2,7.4333,0.1614,254
0.1,0.1,0.01,0.01,31,3,8.2,0.1067,253
0.1,0.1,0.01,0.01,31,4,7.8667,0.0931,247
0.1,0.1,0.01,0.01,31,5,7.9333,0.1024,254
0.1,0.1,0.01,0.01,31,6,8.9,0.0971,278
0.1,0.1,0.01,0.01,31,7,8.3,0.0989,263
0.1,0.1,0.01,0.01,31,8,7.7333,0.1547,265
0.1,0.1,0.01,0.01,31,9,8.1667,0.1081,259
0.1,0.1,0.01,0.01,31,10,8.6,0.087,276
0.1,0.1,0.01,0.01,31,11,7.8,0.1642,274
0.1,0.1,0.01,0.01,31,12,7.9333,0.1089,257
0.1,0.1,0.01,0.01,31,13,7.7667,0.1044,249
0.1,0.1,0.01,0.01,31,14,8.0,0.1321,265
0.1,0.1,0.01,0.01,31,15,7.8667,0.1174,264
0.1,0.1,0.01,0.01,31,16,7.9333,0.1094,256
0.1,0.1,0.01,0.01,31,17,8.0333,0.1012,257
0.1,0.1,0.01,0.01,31,18,7.3667,0.1276,243
0.1,0.1,0.01,0.01,31,19,8.1333,0.1338,269
0.1,0.1,0.01,0.01,31,20,8.3667,0.1273,275
0.1,0.1,0.01,0.01,31,21,7.4667,0.1518,257
0.1,0.1,0.01,0.01,31,22,7.7333,0.1434,258
0.1,0.1,0.01,0.01,31,23,7.3667,0.1371,248
10.0,0.1,0.001,0.0001,185,0,8.7667,0.1571,312
10.0,0.1,0.001,0.0001,185,1,8.6,0.1861,317
10.0,0.1,0.001,0.0001,185,2,6.5667,0.2244,254
10.0,0.1,0.001,0.0001,185,3,10.4667,0.1257,358
10.0,0.1,0.001,0.0001,185,4,7.1,0.1411,248
10.0,0.1,0.001,0.0001,185,5,8.1333,0.1469,286
10.0,0.1,0.001,0.0001,185,6,8.7,0.1526,308
10.0,0.1,0.001,0.0001,185,7,8.3,0.1782,303
10.0,0.1,0.001,0.0001,185,8,8.2667,0.1706,299
10.0,0.1,0.001,0.0001,185,9,10.0,0.1202,341
10.0,0.1,0.001,0.0001,185,10,6.9333,0.1488,242
10.0,0.1,0.001,0.0001,185,11,8.5667,0.1667,306
10.0,0.1,0.001,0.0001,185,12,7.5667,0.1504,266
10.0,0.1,0.001,0.0001,185,13,7.7,0.1455,268
10.0,0.1,0.001,0.0001,185,14,8.8,0.1461,308
10.0,0.1,0.001,0.0001,185,15,6.3,0.1562,224
10.0,0.1,0.001,0.0001,185,16,6.5,0.1702,235
10.0,0.1,0.001,0.0001,185,17,7.4,0.1395,258
10.0,0.1,0.001,0.0001,185,18,6.8,0.157,242
10.0,0.1,0.001,0.0001,185,19,8.4333,0.1481,297
10.0,0.1,0.001,0.0001,185,20,8.4667,0.1515,297
10.0,0.1,0.001,0.0001,185,21,7.6333,0.1792,279
10.0,0.1,0.001,0.0001,185,22,8.0333,0.159,283
10.0,0.1,0.001,0.0001,185,23,6.7,0.1667,240
10.0,0.1,0.01,0.1,192,0,9.1,0.1246,297
10.0,0.1,0.01,0.1,192,1,8.6333,0.1285,288
10.0,0.1,0.01,0.1,192,2,8.6667,0.1228,285
10.0,0.1,0.01,0.1,192,3,8.7333,0.1219,279
10.0,0.1,0.01,0.1,192,4,8.3333,0.0837,263
10.0,0.1,0.01,0.1,192,5,9.0333,0.0941,287
10.0,0.1,0.01,0.1,192,6,8.8333,0.0964,280
10.0,0.1,0.01,0.1,192,7,9.0333,0.1076,288
10.0,0.1,0.01,0.1,192,8,9.0,0.1279,297
10.0,0.1,0.01,0.1,192,9,9.3333,0.1148,305
10.0,0.1,0.01,0.1,192,10,8.3,0.0974,267
10.0,0.1,0.01,0.1,192,11,9.0,0.1429,301
10.0,0.1,0.01,0.1,192,12,8.3,0.1022,274
10.0,0.1,0.01,0.1,192,13,8.8667,0.0845,284
10.0,0.1,0.01,0.1,192,14,8.8667,0.11,291
10.0,0.1,0.01,0.1,192,15,8.9333,0.0683,278
10.0,0.1,0.01,0.1,192,16,8.2333,0.1049,267
10.0,0.1,0.01,0.1,192,17,8.5333,0.0849,271
10.0,0.1,0.01,0.1,192,18,8.4333,0.0929,269
10.0,0.1,0.01,0.1,192,19,8.5333,0.0763,262
10.0,0.1,0.01,0.1,192,20,9.1,0.1073,289
10.0,0.1,0.01,0.1,192,21,8.5667,0.1237,283
10.0,0.1,0.01,0.1,192,22,9.0,0.1246,297
10.0,0.1,0.01,0.1,192,23,8.6,0.0909,275
0.1,0.01,1.0,0.001,18,0,9.1,0.0588,255
0.1,0.01,1.0,0.001,18,1,9.1667,0.057,263
0.1,0.01,1.0,0.001,18,2,9.1667,0.057,263
0.1,0.01,1.0,0.001,18,3,8.2667,0.0792,240
0.1,0.01,1.0,0.001,18,4,9.1333,0.0554,271
0.1,0.01,1.0,0.001,18,5,8.6,0.0757,251
0.1,0.01,1.0,0.001,18,6,9.0667,0.0706,269
0.1,0.01,1.0,0.001,18,7,8.8333,0.0766,261
0.1,0.01,1.0,0.001,18,8,9.1667,0.0775,271
0.1,0.01,1.0,0.001,18,9,8.6333,0.0574,244
0.1,0.01,1.0,0.001,18,10,7.7667,0.0809,235
0.1,0.01,1.0,0.001,18,11,8.9,0.0906,265
0.1,0.01,1.0,0.001,18,12,9.2,0.0526,266
0.1,0.01,1.0,0.001,18,13,8.9667,0.0504,258
0.1,0.01,1.0,0.001,18,14,8.3,0.0735,245
0.1,0.01,1.0,0.001,18,15,9.1667,0.0229,262
0.1,0.01,1.0,0.001,18,16,9.0333,0.0599,267
0.1,0.01,1.0,0.001,18,17,8.6667,0.076,263
0.1,0.01,1.0,0.001,18,18,8.7,0.0703,256
0.1,0.01,1.0,0.001,18,19,8.3333,0.0586,239
0.1,0.01,1.0,0.001,18,20,8.9333,0.0608,263
0.1,0.01,1.0,0.001,18,21,8.9667,0.0706,269
0.1,0.01,1.0,0.001,18,22,8.7667,0.0438,251
0.1,0.01,1.0,0.001,18,23,8.6,0.0556,252
0.1,10.0,0.01,0.1,72,0,8.2333,0.1661,289
0.1,10.0,0.01,0.1,72,1,7.7667,0.1879,282
0.1,10.0,0.01,0.1,72,2,7.3,0.1797,256
0.1,10.0,0.01,0.1,72,3,8.3667,0.1592,289
0.1,10.0,0.01,0.1,72,4,7.3333,0.1215,247
0.1,10.0,0.01,0.1,72,5,7.5,0.1533,261
0.1,10.0,0.01,0.1,72,6,8.1333,0.1408,277
0.1,10.0,0.01,0.1,72,7,8.0333,0.1601,281
0.1,10.0,0.01,0.1,72,8,8.1667,0.169,290
0.1,10.0,0.01,0.1,72,9,9.0,0.1174,298
0.1,10.0,0.01,0.1,72,10,8.6333,0.1111,288
0.1,10.0,0.01,0.1,72,11,7.7,0.1685,273
0.1,10.0,0.01,0.1,72,12,7.9333,0.1455,275
0.1,10.0,0.01,0.1,72,13,8.1333,0.1152,269
0.1,10.0,0.01,0.1,72,14,7.8,0.1556,270
0.1,10.0,0.01,0.1,72,15,7.3333,0.1315,251
0.1,10.0,0.01,0.1,72,16,7.8333,0.1402,271
0.1,10.0,0.01,0.1,72,17,8.3667,0.1107,280
0.1,10.0,0.01,0.1,72,18,7.6667,0.1402,264
0.1,10.0,0.01,0.1,72,19,8.3,0.1383,282
0.1,10.0,0.01,0.1,72,20,8.6667,0.1356,295
0.1,10.0,0.01,0.1,72,21,7.8,0.1708,281
0.1,10.0,0.01,0.1,72,22,8.7667,0.1452,303
0.1,10.0,0.01,0.1,72,23,7.9667,0.1319,273
0.1,0.1,0.01,0.001,30,0,8.5667,0.1497,294
0.1,0.1,0.01,0.001,30,1,8.0667,0.1754,285
0.1,0.1,0.01,0.001,30,2,7.9333,0.1731,283
0.1,0.1,0.01,0.001,30,3,8.3333,0.1581,291
0.1,0.1,0.01,0.001,30,4,8.0,0.1094,265
0.1,0.1,0.01,0.001,30,5,7.5667,0.161,267
0.1,0.1,0.01,0.001,30,6,8.6667,0.1453,296
0.1,0.1,0.01,0.001,30,7,8.0667,0.1655,284
0.1,0.1,0.01,0.001,30,8,7.4667,0.1767,266
0.1,0.1,0.01,0.001,30,9,8.8,0.1309,298
0.1,0.1,0.01,0.001,30,10,8.6333,0.1293,294
0.1,0.1,0.01,0.001,30,11,8.6333,0.1612,304
0.1,0.1,0.01,0.001,30,12,8.3,0.1307,283
0.1,0.1,0.01,0.001,30,13,7.9667,0.1212,264
0.1,0.1,0.01,0.001,30,14,7.6667,0.1504,266
0.1,0.1,0.01,0.001,30,15,7.3667,0.1143,245
0.1,0.1,0.01,0.001,30,16,7.6333,0.1429,266
0.1,0.1,0.01,0.001,30,17,7.7667,0.1316,266
0.1,0.1,0.01,0.001,30,18,8.1667,0.1295,278
0.1,0.1,0.01,0.001,30,19,7.8,0.1308,260
0.1,0.1,0.01,0.001,30,20,8.6667,0.1232,284
0.1,0.1,0.01,0.001,30,21,7.9667,0.1613,279
0.1,0.1,0.01,0.001,30,22,8.0,0.1577,279
0.1,0.1,0.01,0.001,30,23,7.8333,0.1434,272
1.0,1.0,0.0,0.01,123,0,7.2333,0.1783,258
1.0,1.0,0.0,0.01,123,1,7.3,0.2,270
1.0,1.0,0.0,0.01,123,2,7.1,0.1818,253
1.0,1.0,0.0,0.01,123,3,8.0667,0.1511,278
1.0,1.0,0.0,0.01,123,4,6.5333,0.1522,230
1.0,1.0,0.0,0.01,123,5,7.1333,0.1492,248
1.0,1.0,0.0,0.01,123,6,7.7667,0.1461,267
1.0,1.0,0.0,0.01,123,7,7.7667,0.1636,275
1.0,1.0,0.0,0.01,123,8,7.0333,0.1885,260
1.0,1.0,0.0,0.01,123,9,7.7333,0.1369,263
1.0,1.0,0.0,0.01,123,10,7.3667,0.1235,251
1.0,1.0,0.0,0.01,123,11,8.1,0.1797,295
1.0,1.0,0.0,0.01,123,12,6.7333,0.1548,239
1.0,1.0,0.0,0.01,123,13,7.2667,0.1429,252
1.0,1.0,0.0,0.01,123,14,7.8,0.1439,271
1.0,1.0,0.0,0.01,123,15,6.2333,0.15,220
1.0,1.0,0.0,0.01,123,16,6.2667,0.1577,222
1.0,1.0,0.0,0.01,123,17,6.5667,0.1289,225
1.0,1.0,0.0,0.01,123,18,6.9667,0.164,250
1.0,1.0,0.0,0.01,123,19,7.5333,0.1579,266
1.0,1.0,0.0,0.01,123,20,7.7333,0.1573,267
1.0,1.0,0.0,0.01,123,21,7.4333,0.1692,266
1.0,1.0,0.0,0.01,123,22,7.4667,0.1553,264
1.0,1.0,0.0,0.01,123,23,6.5333,0.1552,232
0.1,10.0,1.0,0.001,78,0,9.0,0.115,287
0.1,10.0,1.0,0.001,78,1,9.1,0.1241,290
0.1,10.0,1.0,0.001,78,2,7.9667,0.1504,266
0.1,10.0,1.0,0.001,78,3,9.5333,0.1104,308
0.1,10.0,1.0,0.001,78,4,9.1,0.078,282
0.1,10.0,1.0,0.001,78,5,8.6333,0.1047,277
0.1,10.0,1.0,0.001,78,6,8.8,0.1166,283
0.1,10.0,1.0,0.001,78,7,8.9,0.1267,292
0.1,10.0,1.0,0.001,78,8,8.0333,0.1444,270
0.1,10.0,1.0,0.001,78,9,9.3,0.1137,299
0.1,10.0,1.0,0.001,78,10,8.4333,0.0833,264
0.1,10.0,1.0,0.001,78,11,8.3667,0.1397,272
0.1,10.0,1.0,0.001,78,12,8.6333,0.0873,275
0.1,10.0,1.0,0.001,78,13,9.2667,0.0793,290
0.1,10.0,1.0,0.001,78,14,8.7333,0.1185,287
0.1,10.0,1.0,0.001,78,15,8.6,0.0836,275
0.1,10.0,1.0,0.001,78,16,8.7,0.0968,279
0.1,10.0,1.0,0.001,78,17,8.5667,0.0818,269
0.1,10.0,1.0,0.001,78,18,8.5333,0.1095,274
0.1,10.0,1.0,0.001,78,19,8.6,0.0933,268
