MAX_SIZE,LAMBDA,NOISE_TEMPERATURE,h_NULL,h_LR,z_RHO,z_MU,i,train_loss,val_loss,size,nshd_c,nshd,tpr,tpr_c,change_adj_count,graph_set
,1,0.6988803600202055,0.018366302096806723,0.00011407676114916767,0.01861467411715189,0.09077965780952048,0,7.702515347798665,36.496639251708984,0,1.7,1.7,0.0,0.0,14,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags"
,1,0.6988803600202055,0.018366302096806723,0.00011407676114916767,0.01861467411715189,0.09077965780952048,1,10.74128843943278,51.698402404785156,0,2.3,2.3,0.0,0.0,14,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags"
,1,0.6988803600202055,0.018366302096806723,0.00011407676114916767,0.01861467411715189,0.09077965780952048,2,10.008936373392741,49.70346705118815,0,1.8666666666666667,1.8666666666666667,0.0,0.0,14,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags"
,1,0.6988803600202055,0.018366302096806723,0.00011407676114916767,0.01861467411715189,0.09077965780952048,3,22.37695426940918,126.3353780110677,0,2.4,2.4,0.0,0.0,14,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags"
,1,0.6988803600202055,0.018366302096806723,0.00011407676114916767,0.01861467411715189,0.09077965780952048,4,15.02149969736735,79.70098622639973,0,2.3333333333333335,2.3333333333333335,0.0,0.0,14,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags"
,1,0.6988803600202055,0.018366302096806723,0.00011407676114916767,0.01861467411715189,0.09077965780952048,5,10.895286178588867,45.275534311930336,0,2.2333333333333334,2.2333333333333334,0.0,0.0,14,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags"
,1,1.495825633660733,0.005596791707269637,0.0006883365038416197,0.0902285855565836,0.5069056649315895,0,15.927597507353752,26.15576966603597,1,1.7,1.6666666666666667,0.0196078431372549,0.0,12,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags"
,1,1.495825633660733,0.005596791707269637,0.0006883365038416197,0.0902285855565836,0.5069056649315895,1,16.317971491044567,25.514586289723713,2,2.2333333333333334,2.2333333333333334,0.028985507246376812,1.0,13,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags"
,1,1.495825633660733,0.005596791707269637,0.0006883365038416197,0.0902285855565836,0.5069056649315895,2,16.07797791880946,27.85929791132609,2,1.8,1.8,0.03571428571428571,1.0,13,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags"
,1,1.495825633660733,0.005596791707269637,0.0006883365038416197,0.0902285855565836,0.5069056649315895,3,32.503048866025864,115.00015385945638,1,2.4,2.3666666666666667,0.013888888888888888,0.0,12,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags"
,1,1.495825633660733,0.005596791707269637,0.0006883365038416197,0.0902285855565836,0.5069056649315895,4,25.390744701508552,65.84613831837972,1,2.3333333333333335,2.3,0.014285714285714285,0.0,12,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags"
,1,1.495825633660733,0.005596791707269637,0.0006883365038416197,0.0902285855565836,0.5069056649315895,5,19.453359803845807,46.352603594462074,0,2.2333333333333334,2.2333333333333334,0.0,0.0,11,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags"
,1,3.4856205886508382,2.1110285946520015,0.0002844941493035611,1.1563268109624445,0.4248013277600147,0,8.811275451414046,37.7102476755778,0,1.7,1.7,0.0,0.0,331,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags"
,1,3.4856205886508382,2.1110285946520015,0.0002844941493035611,1.1563268109624445,0.4248013277600147,1,12.949052010813068,49.27729098002116,0,2.3,2.3,0.0,0.0,318,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags"
,1,3.4856205886508382,2.1110285946520015,0.0002844941493035611,1.1563268109624445,0.4248013277600147,2,12.332073642361548,47.406281153361,0,1.8666666666666667,1.8666666666666667,0.0,0.0,345,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags"
,1,3.4856205886508382,2.1110285946520015,0.0002844941493035611,1.1563268109624445,0.4248013277600147,3,28.89447538314327,128.7618662516276,0,2.4,2.4,0.0,0.0,315,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags"
,1,3.4856205886508382,2.1110285946520015,0.0002844941493035611,1.1563268109624445,0.4248013277600147,4,17.660432077223255,78.06521224975586,0,2.3333333333333335,2.3333333333333335,0.0,0.0,305,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags"
,1,3.4856205886508382,2.1110285946520015,0.0002844941493035611,1.1563268109624445,0.4248013277600147,5,13.383096848764728,45.85832214355469,0,2.2333333333333334,2.2333333333333334,0.0,0.0,313,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags"
,1,0.0446954855263097,0.6747860375706994,0.0005207232745574847,0.30708961970102966,0.020956602379391027,0,2.6462206499917165,13.693283081054688,184,6.833333333333333,6.8,0.17647058823529413,0.043478260869565216,105,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags"
,1,0.0446954855263097,0.6747860375706994,0.0005207232745574847,0.30708961970102966,0.020956602379391027,1,12.032238279070173,23.209808349609375,173,7.066666666666666,7.0,0.14492753623188406,0.046242774566473986,103,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags"
,1,0.0446954855263097,0.6747860375706994,0.0005207232745574847,0.30708961970102966,0.020956602379391027,2,21.611765725272043,36.73981475830078,196,6.966666666666667,6.933333333333334,0.2857142857142857,0.07653061224489796,110,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags"
,1,0.0446954855263097,0.6747860375706994,0.0005207232745574847,0.30708961970102966,0.020956602379391027,3,29.37441635131836,78.41398620605469,188,7.133333333333334,7.1,0.2361111111111111,0.0851063829787234,112,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags"
,1,0.0446954855263097,0.6747860375706994,0.0005207232745574847,0.30708961970102966,0.020956602379391027,4,15.729942185538155,35.79924392700195,191,7.6,7.566666666666666,0.12857142857142856,0.041884816753926704,110,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags"
