MAX_SIZE,LAMBDA,NOISE_TEMPERATURE,h_NULL,h_LR,z_RHO,z_MU,DAGS,i,train_loss,val_loss,size,nshd_c,nshd,tpr,tpr_c,change_adj_count,graph_set
,27.13959516077541,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,1,69735.16606910342,27413.984375,5,1.2727272727272727,1.3636363636363635,0.11764705882352941,0.6,480,Sachs_1
,27.13959516077541,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,2,40824.25062313988,26303.0859375,4,1.1818181818181819,1.3636363636363635,0.11764705882352941,1.0,496,Sachs_1
,27.13959516077541,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,3,23068.080336216517,28179.7421875,5,1.2727272727272727,1.3636363636363635,0.11764705882352941,0.6,494,Sachs_1
,27.13959516077541,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,4,39215.547154017855,20714.45703125,5,1.2727272727272727,1.3636363636363635,0.11764705882352941,0.6,507,Sachs_1
,27.13959516077541,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,5,54089.39186895461,29716.935546875,3,1.2727272727272727,1.3636363636363635,0.11764705882352941,1.0,471,Sachs_1
,27.13959516077541,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,6,80943.6442452567,22921.689453125,6,1.0,1.2727272727272727,0.17647058823529413,1.0,467,Sachs_1
,27.13959516077541,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,7,49100.44834449405,31517.271484375,4,1.1818181818181819,1.3636363636363635,0.11764705882352941,1.0,513,Sachs_1
,27.13959516077541,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,8,40863.90657087054,38234.3671875,6,1.0,1.2727272727272727,0.17647058823529413,1.0,522,Sachs_1
,27.13959516077541,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,9,46851.43418666295,28813.990234375,5,1.0909090909090908,1.2727272727272727,0.17647058823529413,1.0,482,Sachs_1
,27.13959516077541,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,10,40554.40864025298,25279.453125,4,1.1818181818181819,1.3636363636363635,0.11764705882352941,1.0,530,Sachs_1
,27.13959516077541,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,11,63249.65640345982,34021.69921875,4,1.1818181818181819,1.3636363636363635,0.11764705882352941,1.0,506,Sachs_1
,27.13959516077541,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,12,24802.60615234375,27682.51171875,5,1.0909090909090908,1.2727272727272727,0.17647058823529413,1.0,526,Sachs_1
,27.13959516077541,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,13,38519.29544735863,23077.279296875,6,1.1818181818181819,1.2727272727272727,0.17647058823529413,0.6666666666666666,498,Sachs_1
,27.13959516077541,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,14,41300.72891787574,31612.611328125,5,1.0909090909090908,1.2727272727272727,0.17647058823529413,1.0,480,Sachs_1
,27.13959516077541,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,15,55624.58992745536,22379.025390625,5,1.0909090909090908,1.2727272727272727,0.17647058823529413,1.0,495,Sachs_1
,27.13959516077541,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,16,49643.71718052455,28607.298828125,5,1.2727272727272727,1.3636363636363635,0.11764705882352941,0.6,514,Sachs_1
,27.13959516077541,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,17,49504.63474702381,28752.328125,7,0.9090909090909091,1.1818181818181819,0.23529411764705882,1.0,520,Sachs_1
,27.13959516077541,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,18,31696.099546595982,22257.453125,5,1.2727272727272727,1.3636363636363635,0.11764705882352941,0.6,493,Sachs_1
,27.13959516077541,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,19,37359.30674293155,23873.490234375,5,1.0909090909090908,1.2727272727272727,0.17647058823529413,1.0,494,Sachs_1
,27.13959516077541,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,20,48858.89220842634,35316.98828125,5,1.2727272727272727,1.3636363636363635,0.11764705882352941,0.6,470,Sachs_1
,27.13959516077541,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,21,66910.4379952567,30847.84375,4,1.1818181818181819,1.3636363636363635,0.11764705882352941,1.0,511,Sachs_1
,27.13959516077541,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,22,43319.626627604164,23068.556640625,5,1.2727272727272727,1.3636363636363635,0.11764705882352941,0.6,456,Sachs_1
,27.13959516077541,0.8785929148606203,0.00011373901985660933,0.0016158450337500668,0.157451211201,0.00120806965197976,Sachs_1,23,52005.72215401786,26385.271484375,6,1.0,1.3636363636363635,0.11764705882352941,1.0,510,Sachs_1
