MAX_SIZE,LAMBDA,NOISE_TEMPERATURE,h_NULL,h_LR,z_RHO,z_MU,DAGS,i,train_loss,val_loss,size,nshd_c,nshd,tpr,tpr_c,change_adj_count,graph_set
,0.194403371889602,27.1589710449973,0.115757798604428,0.00685107281890935,0.0117632469822662,0.535741431529132,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags",0,19.8613226798273,26.3307626247406,3,1.8,1.8,0,0,37,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags"
,0.194403371889602,27.1589710449973,0.115757798604428,0.00685107281890935,0.0117632469822662,0.535741431529132,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags",1,22.1329462912775,50.1516493161519,1,2.3,2.3,0,0,31,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags"
,0.194403371889602,27.1589710449973,0.115757798604428,0.00685107281890935,0.0117632469822662,0.535741431529132,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags",2,21.5054617081919,24.4622584978739,4,1.9,1.86666666666667,0.0357142857142857,0.25,116,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags"
,0.194403371889602,27.1589710449973,0.115757798604428,0.00685107281890935,0.0117632469822662,0.535741431529132,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags",3,48.5660159818588,72.0778751373291,11,2.6,2.56666666666667,0.0416666666666667,0.181818181818182,63,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags"
,0.194403371889602,27.1589710449973,0.115757798604428,0.00685107281890935,0.0117632469822662,0.535741431529132,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags",4,30.2167808163551,56.4232835769653,7,2.33333333333333,2.26666666666667,0.0571428571428571,0.285714285714286,63,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags"
,0.194403371889602,27.1589710449973,0.115757798604428,0.00685107281890935,0.0117632469822662,0.535741431529132,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags",5,22.5277879468856,25.3085203170776,9,2.36666666666667,2.3,0.0447761194029851,0.111111111111111,42,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags"
,4.73991424549595,0.0445268104454506,0.343640360123313,0.128832573000261,1.04092636733069,0.0478824329863258,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags",0,13.393630027771,7.42851305007935,172,6.23333333333333,6.2,0.274509803921569,0.0755813953488372,39,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags"
,4.73991424549595,0.0445268104454506,0.343640360123313,0.128832573000261,1.04092636733069,0.0478824329863258,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags",1,14.8268554051717,25.4888375600179,164,6.46666666666667,6.4,0.188405797101449,0.0670731707317073,42,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags"
,4.73991424549595,0.0445268104454506,0.343640360123313,0.128832573000261,1.04092636733069,0.0478824329863258,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags",2,24.0775843302409,17.5113093058268,155,6.23333333333333,6.23333333333333,0.142857142857143,0.0516129032258065,40,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags"
,4.73991424549595,0.0445268104454506,0.343640360123313,0.128832573000261,1.04092636733069,0.0478824329863258,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags",3,35.8630494435628,25.5204594930013,153,6.1,6.06666666666667,0.208333333333333,0.0915032679738562,39,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags"
,4.73991424549595,0.0445268104454506,0.343640360123313,0.128832573000261,1.04092636733069,0.0478824329863258,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags",4,25.826891708374,32.4658120473226,165,6.46666666666667,6.4,0.228571428571429,0.0848484848484848,44,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags"
,4.73991424549595,0.0445268104454506,0.343640360123313,0.128832573000261,1.04092636733069,0.0478824329863258,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags",5,19.3367497762044,19.1941947937012,167,6.56666666666667,6.5,0.17910447761194,0.0598802395209581,33,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags"
