MAX_SIZE,LAMBDA,NOISE_TEMPERATURE,h_NULL,h_LR,z_RHO,z_MU,i,train_loss,val_loss,size,nshd_c,nshd,tpr,tpr_c,change_adj_count
,1.0,1.7071981788519706,1.0429741061342017,0.00016703166913479802,0.04558029040990937,0.01893113811663098,0,3.8325467340407835,11.629549026489258,258,8.8,8.7,0.3137254901960784,0.050387596899224806,66
,1.0,1.7071981788519706,1.0429741061342017,0.00016703166913479802,0.04558029040990937,0.01893113811663098,1,5.0691758355786725,16.957711537679035,266,9.0,8.9,0.3188405797101449,0.07142857142857142,44
,1.0,1.7071981788519706,1.0429741061342017,0.00016703166913479802,0.04558029040990937,0.01893113811663098,2,4.550794532222133,11.349496046702066,256,8.533333333333333,8.5,0.4107142857142857,0.0859375,67
,1.0,1.7071981788519706,1.0429741061342017,0.00016703166913479802,0.04558029040990937,0.01893113811663098,3,9.918978198882073,51.12967046101888,251,8.866666666666667,8.866666666666667,0.2361111111111111,0.06772908366533864,64
,1.0,1.7071981788519706,1.0429741061342017,0.00016703166913479802,0.04558029040990937,0.01893113811663098,4,7.9646825328949955,30.55810483296712,253,8.9,8.866666666666667,0.22857142857142856,0.05928853754940711,51
,1.0,1.7071981788519706,1.0429741061342017,0.00016703166913479802,0.04558029040990937,0.01893113811663098,5,5.473779939836072,23.900713284810383,255,8.366666666666667,8.333333333333334,0.417910447761194,0.10588235294117647,58
,1.0,13.569552367805136,0.0018133652346875142,0.025000809080759204,1.212805533430883,0.01649554067629318,0,1.7259694655736288,7.492362022399902,274,8.5,8.366666666666667,0.6078431372549019,0.09854014598540146,201
,1.0,13.569552367805136,0.0018133652346875142,0.025000809080759204,1.212805533430883,0.01649554067629318,1,2.077462601661682,7.03877067565918,289,8.933333333333334,8.9,0.5507246376811594,0.12802768166089964,201
,1.0,13.569552367805136,0.0018133652346875142,0.025000809080759204,1.212805533430883,0.01649554067629318,2,2.193345220883687,6.565880139668782,271,8.333333333333334,8.333333333333334,0.5535714285714286,0.11439114391143912,201
,1.0,13.569552367805136,0.0018133652346875142,0.025000809080759204,1.212805533430883,0.01649554067629318,3,3.85556968053182,11.49946403503418,273,8.633333333333333,8.466666666666667,0.5,0.11355311355311355,201
