MAX_SIZE,LAMBDA,NOISE_TEMPERATURE,h_NULL,h_LR,z_RHO,z_MU,DAGS,i,train_loss,val_loss,size,nshd_c,nshd,tpr,tpr_c,change_adj_count,graph_set
84,0.4788474944184507,1,0.0017391383486757702,2.5561843049655915e-05,0.9011636602470657,0.03789621501181979,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags",0,11.998307857513428,7.717566108703613,49,2.7333333333333334,2.7,0.17647058823529413,0.16326530612244897,1023,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags"
84,0.4788474944184507,1,0.0017391383486757702,2.5561843049655915e-05,0.9011636602470657,0.03789621501181979,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags",1,15.103099761962891,27.87741569519043,36,3.1666666666666665,3.1333333333333333,0.07246376811594203,0.1111111111111111,1023,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags"
84,0.4788474944184507,1,0.0017391383486757702,2.5561843049655915e-05,0.9011636602470657,0.03789621501181979,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags",2,15.645690868377686,13.962874431610107,35,2.6333333333333333,2.6,0.05357142857142857,0.05714285714285714,1023,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags"
84,0.4788474944184507,1,0.0017391383486757702,2.5561843049655915e-05,0.9011636602470657,0.03789621501181979,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags",3,28.29718295288086,47.97665580749512,46,3.2333333333333334,3.1666666666666665,0.1388888888888889,0.17391304347826086,1023,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags"
84,0.4788474944184507,1,0.0017391383486757702,2.5561843049655915e-05,0.9011636602470657,0.03789621501181979,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags",4,20.669612030029295,26.88872787475586,49,3.2666666666666666,3.2,0.12857142857142856,0.14285714285714285,1023,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags"
84,0.4788474944184507,1,0.0017391383486757702,2.5561843049655915e-05,0.9011636602470657,0.03789621501181979,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags",5,16.580712257385255,16.379802646636964,45,2.8333333333333335,2.8333333333333335,0.1791044776119403,0.26666666666666666,1023,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags"
60,1.4682736061241226,1,0.0025766278270341054,0.010271074669901268,0.011024716826669263,0.07250171073244703,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags",0,23.21321055094401,37.63924026489258,39,2.6,2.6,0.09803921568627451,0.1282051282051282,1001,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags"
60,1.4682736061241226,1,0.0025766278270341054,0.010271074669901268,0.011024716826669263,0.07250171073244703,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags",1,118.12472152709961,99.20423889160156,42,3.1666666666666665,3.1,0.11594202898550725,0.14285714285714285,1001,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags"
60,1.4682736061241226,1,0.0025766278270341054,0.010271074669901268,0.011024716826669263,0.07250171073244703,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags",2,190.29982681274413,190.63465881347656,35,2.3333333333333335,2.3,0.14285714285714285,0.2,1001,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags"
60,1.4682736061241226,1,0.0025766278270341054,0.010271074669901268,0.011024716826669263,0.07250171073244703,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags",3,313.48413848876953,2508.6852213541665,56,3.6333333333333333,3.566666666666667,0.1388888888888889,0.14285714285714285,1001,"030_ER2_gaussian_ev_2022-08-06_BST_10:01:40,148_create_dags"
