MAX_SIZE,LAMBDA,NOISE_TEMPERATURE,h_NULL,h_LR,z_RHO,z_MU,i,train_loss,val_loss,size,nshd_c,nshd,tpr,tpr_c,change_adj_count,graph_set
,1,0.0443157790358656,0.0109843638170302,0.0535900780042863,0.526864469836609,0.0119699206451764,0,1.9793569387928132,1.7453433473904927,60,1.3666666666666667,1.3333333333333333,0.6376811594202898,0.7166666666666667,312,"030_ER2_gaussian_ev_2022-08-12_BST_09:55:21,293_create_dags"
,1,0.0443157790358656,0.0109843638170302,0.0535900780042863,0.526864469836609,0.0119699206451764,1,1.5357308080119472,3.5924060344696045,62,0.5666666666666667,0.5,0.8507462686567164,0.8870967741935484,339,"030_ER2_gaussian_ev_2022-08-12_BST_09:55:21,293_create_dags"
,1,0.0443157790358656,0.0109843638170302,0.0535900780042863,0.526864469836609,0.0119699206451764,2,1.7759098968198221,1.6946159104506175,54,0.9,0.9,0.703125,0.8333333333333334,310,"030_ER2_gaussian_ev_2022-08-12_BST_09:55:21,293_create_dags"
,1,0.0443157790358656,0.0109843638170302,0.0535900780042863,0.526864469836609,0.0119699206451764,3,2.690320816732222,29.81411361694336,61,1.7333333333333334,1.7333333333333334,0.5555555555555556,0.5737704918032787,340,"030_ER2_gaussian_ev_2022-08-12_BST_09:55:21,293_create_dags"
,1,0.0443157790358656,0.0109843638170302,0.0535900780042863,0.526864469836609,0.0119699206451764,4,1.8577273834136225,2.6571800311406455,43,1.2666666666666666,1.2666666666666666,0.5208333333333334,0.5813953488372093,289,"030_ER2_gaussian_ev_2022-08-12_BST_09:55:21,293_create_dags"
,1,0.0443157790358656,0.0109843638170302,0.0535900780042863,0.526864469836609,0.0119699206451764,5,1.4103415531496848,1.073393518726031,53,0.3,0.3,0.8771929824561403,0.9433962264150944,292,"030_ER2_gaussian_ev_2022-08-12_BST_09:55:21,293_create_dags"
,1,0.0443157790358656,0.0109843638170302,0.0535900780042863,0.526864469836609,0.0119699206451764,6,1.667976971595518,1.3166252473990123,64,0.8666666666666667,0.8666666666666667,0.796875,0.796875,347,"030_ER2_gaussian_ev_2022-08-12_BST_09:55:21,293_create_dags"
,1,0.0443157790358656,0.0109843638170302,0.0535900780042863,0.526864469836609,0.0119699206451764,7,1.539155654368862,1.3069624404112499,53,0.5,0.43333333333333335,0.8225806451612904,0.9245283018867925,318,"030_ER2_gaussian_ev_2022-08-12_BST_09:55:21,293_create_dags"
,1,0.0443157790358656,0.0109843638170302,0.0535900780042863,0.526864469836609,0.0119699206451764,8,1.478611428891459,1.2263237138589222,53,0.6333333333333333,0.5333333333333333,0.7936507936507936,0.8867924528301887,333,"030_ER2_gaussian_ev_2022-08-12_BST_09:55:21,293_create_dags"
,1,0.0443157790358656,0.0109843638170302,0.0535900780042863,0.526864469836609,0.0119699206451764,9,1.5623406729390543,1.8962320784727733,55,0.8333333333333334,0.7666666666666667,0.7540983606557377,0.8,318,"030_ER2_gaussian_ev_2022-08-12_BST_09:55:21,293_create_dags"
,1,0.0443157790358656,0.0109843638170302,0.0535900780042863,0.526864469836609,0.0119699206451764,10,1.398951309342538,1.079668402671814,46,0.5333333333333333,0.5,0.803921568627451,0.8695652173913043,331,"030_ER2_gaussian_ev_2022-08-12_BST_09:55:21,293_create_dags"
,1,0.0443157790358656,0.0109843638170302,0.0535900780042863,0.526864469836609,0.0119699206451764,11,1.5749570881166766,1.2390293776988983,65,0.7,0.7,0.8235294117647058,0.8615384615384616,298,"030_ER2_gaussian_ev_2022-08-12_BST_09:55:21,293_create_dags"
,1,0.0443157790358656,0.0109843638170302,0.0535900780042863,0.526864469836609,0.0119699206451764,12,1.4044024521304714,1.13188236951828,47,0.43333333333333335,0.4,0.8301886792452831,0.9148936170212766,282,"030_ER2_gaussian_ev_2022-08-12_BST_09:55:21,293_create_dags"
,1,0.0443157790358656,0.0109843638170302,0.0535900780042863,0.526864469836609,0.0119699206451764,13,1.381281352812244,1.112789163986842,48,0.4,0.36666666666666664,0.8490566037735849,0.9166666666666666,320,"030_ER2_gaussian_ev_2022-08-12_BST_09:55:21,293_create_dags"
,1,0.0443157790358656,0.0109843638170302,0.0535900780042863,0.526864469836609,0.0119699206451764,14,1.4799502395814466,1.2124727070331573,53,0.4,0.4,0.847457627118644,0.9433962264150944,317,"030_ER2_gaussian_ev_2022-08-12_BST_09:55:21,293_create_dags"
,1,0.0443157790358656,0.0109843638170302,0.0535900780042863,0.526864469836609,0.0119699206451764,15,1.3755733813008955,1.133275215824445,41,0.5,0.5,0.7857142857142857,0.8048780487804879,252,"030_ER2_gaussian_ev_2022-08-12_BST_09:55:21,293_create_dags"
,1,0.0443157790358656,0.0109843638170302,0.0535900780042863,0.526864469836609,0.0119699206451764,16,1.3343750642191978,1.1603111525376637,45,0.4,0.3,0.86,0.8888888888888888,280,"030_ER2_gaussian_ev_2022-08-12_BST_09:55:21,293_create_dags"
,1,0.0443157790358656,0.0109843638170302,0.0535900780042863,0.526864469836609,0.0119699206451764,17,1.3466371047881343,1.229859749476115,42,0.43333333333333335,0.36666666666666664,0.8163265306122449,0.9047619047619048,281,"030_ER2_gaussian_ev_2022-08-12_BST_09:55:21,293_create_dags"
,1,0.0443157790358656,0.0109843638170302,0.0535900780042863,0.526864469836609,0.0119699206451764,18,1.4019742973389164,1.1009226938088734,49,0.43333333333333335,0.4,0.8214285714285714,0.9183673469387755,295,"030_ER2_gaussian_ev_2022-08-12_BST_09:55:21,293_create_dags"
,1,0.0443157790358656,0.0109843638170302,0.0535900780042863,0.526864469836609,0.0119699206451764,19,1.3552779170774645,1.1838178833325703,50,0.4666666666666667,0.43333333333333335,0.8245614035087719,0.92,301,"030_ER2_gaussian_ev_2022-08-12_BST_09:55:21,293_create_dags"
,1,0.0443157790358656,0.0109843638170302,0.0535900780042863,0.526864469836609,0.0119699206451764,20,1.6965071001360494,2.1259094874064126,58,1.1333333333333333,1.1,0.711864406779661,0.7068965517241379,336,"030_ER2_gaussian_ev_2022-08-12_BST_09:55:21,293_create_dags"
,1,0.0443157790358656,0.0109843638170302,0.0535900780042863,0.526864469836609,0.0119699206451764,21,1.6394479947705423,1.2916818757851918,50,0.7,0.7,0.7543859649122807,0.86,325,"030_ER2_gaussian_ev_2022-08-12_BST_09:55:21,293_create_dags"
,1,0.0443157790358656,0.0109843638170302,0.0535900780042863,0.526864469836609,0.0119699206451764,22,1.7223980945925559,1.4207792580127716,57,1.0666666666666667,1.0333333333333334,0.7166666666666667,0.7368421052631579,350,"030_ER2_gaussian_ev_2022-08-12_BST_09:55:21,293_create_dags"
,1,0.0443157790358656,0.0109843638170302,0.0535900780042863,0.526864469836609,0.0119699206451764,23,1.3422373148702806,1.2269007563591003,40,0.4,0.36666666666666664,0.7959183673469388,0.95,309,"030_ER2_gaussian_ev_2022-08-12_BST_09:55:21,293_create_dags"
