MAX_SIZE,z_RHO,z_MU,j,dag,nshd_c,tpr_c,size
None,0.410122763411552,0,3,8,   2.3333      ,   0.4286      ,  91      
None,0.410122763411552,0,3,9,   2.7000      ,   0.3905      , 105      
None,0.410122763411552,0,3,10,   1.7333      ,   0.4789      ,  71      
None,0.410122763411552,0,3,11,   2.6667      ,   0.4414      , 111      
None,0.410122763411552,0,3,12,   1.3000      ,   0.6000      ,  60      
None,0.410122763411552,0,3,13,   2.4000      ,   0.3936      ,  94      
None,0.410122763411552,0,3,14,   1.6667      ,   0.5211      ,  71      
None,0.410122763411552,0,3,15,   0.9333      ,   0.6047      ,  43      
None,0.410122763411552,0,3,16,   1.0667      ,   0.6207      ,  58      
None,0.410122763411552,0,3,17,   1.0000      ,   0.6418      ,  67      
None,0.410122763411552,0,3,18,   1.0000      ,   0.6984      ,  63      
None,0.410122763411552,0,3,19,   1.5000      ,   0.5571      ,  70      
None,0.410122763411552,0,3,20,   3.5000      ,   0.2927      , 123      
None,0.410122763411552,0,3,21,   2.0000      ,   0.4500      ,  80      
None,0.410122763411552,0,3,22,   2.9000      ,   0.3585      , 106      
None,0.410122763411552,0,3,23,   1.2667      ,   0.5439      ,  57      
66,0,0.0102343788252807,6,0,   1.8333      ,   0.5510      ,  49      
66,0,0.0102343788252807,6,1,   1.8000      ,   0.5882      ,  51      
66,0,0.0102343788252807,6,2,   1.2333      ,   0.6939      ,  49      
66,0,0.0102343788252807,6,3,   2.3000      ,   0.3922      ,  51      
66,0,0.0102343788252807,6,4,   1.2000      ,   0.5909      ,  44      
66,0,0.0102343788252807,6,5,   1.0333      ,   0.7632      ,  38      
66,0,0.0102343788252807,6,6,   1.5000      ,   0.6538      ,  52      
66,0,0.0102343788252807,6,7,   1.4667      ,   0.6111      ,  54      
66,0,0.0102343788252807,6,8,   1.3333      ,   0.6415      ,  53      
66,0,0.0102343788252807,6,9,   1.8667      ,   0.4583      ,  48      
66,0,0.0102343788252807,6,10,   1.1333      ,   0.6667      ,  33      
66,0,0.0102343788252807,6,11,   2.0667      ,   0.4906      ,  53      
66,0,0.0102343788252807,6,12,   0.6667      ,   0.8125      ,  48      
66,0,0.0102343788252807,6,13,   1.3000      ,   0.5686      ,  51      
66,0,0.0102343788252807,6,14,   0.9667      ,   0.7447      ,  47      
66,0,0.0102343788252807,6,15,   0.9667      ,   0.5714      ,  35      
66,0,0.0102343788252807,6,16,   0.6000      ,   0.7857      ,  42      
66,0,0.0102343788252807,6,17,   0.5667      ,   0.8718      ,  39      
66,0,0.0102343788252807,6,18,   0.6667      ,   0.8444      ,  45      
66,0,0.0102343788252807,6,19,   1.4333      ,   0.5278      ,  36      
66,0,0.0102343788252807,6,20,   1.8667      ,   0.4314      ,  51      
66,0,0.0102343788252807,6,21,   0.9000      ,   0.7347      ,  49      
66,0,0.0102343788252807,6,22,   1.6667      ,   0.5306      ,  49      
66,0,0.0102343788252807,6,23,   0.5000      ,   0.8974      ,  39      
66,0.410122763411552,0.0102343788252807,8,0,   1.2000      ,   0.7424      ,  66      
66,0.410122763411552,0.0102343788252807,8,1,   1.3000      ,   0.7121      ,  66      
66,0.410122763411552,0.0102343788252807,8,2,   0.4000      ,   0.9474      ,  57      
66,0.410122763411552,0.0102343788252807,8,3,   2.0667      ,   0.4848      ,  66      
66,0.410122763411552,0.0102343788252807,8,4,   0.7667      ,   0.7447      ,  47      
66,0.410122763411552,0.0102343788252807,8,5,   0.2667      ,   0.9623      ,  53      
66,0.410122763411552,0.0102343788252807,8,6,   0.9333      ,   0.7727      ,  66      
66,0.410122763411552,0.0102343788252807,8,7,   0.6333      ,   0.8387      ,  62      
66,0.410122763411552,0.0102343788252807,8,8,   0.4667      ,   0.8871      ,  62      
66,0.410122763411552,0.0102343788252807,8,9,   0.9667      ,   0.7273      ,  66      
66,0.410122763411552,0.0102343788252807,8,10,   0.6667      ,   0.7885      ,  52      
66,0.410122763411552,0.0102343788252807,8,11,   1.3667      ,   0.6970      ,  66      
66,0.410122763411552,0.0102343788252807,8,12,   0.5000      ,   0.8246      ,  57      
66,0.410122763411552,0.0102343788252807,8,13,   0.5333      ,   0.8600      ,  50      
66,0.410122763411552,0.0102343788252807,8,14,   0.2333      ,   0.9643      ,  56      
66,0.410122763411552,0.0102343788252807,8,15,   0.4333      ,   0.7955      ,  44      
66,0.410122763411552,0.0102343788252807,8,16,   0.1000      ,   1.0000      ,  47      
66,0.410122763411552,0.0102343788252807,8,17,   0.1667      ,   0.9783      ,  46      
66,0.410122763411552,0.0102343788252807,8,18,   0.1667      ,   0.9811      ,  53      
66,0.410122763411552,0.0102343788252807,8,19,   0.4667      ,   0.8727      ,  55      
66,0.410122763411552,0.0102343788252807,8,20,   1.5000      ,   0.5909      ,  66      
66,0.410122763411552,0.0102343788252807,8,21,   0.7667      ,   0.7857      ,  56      
66,0.410122763411552,0.0102343788252807,8,22,   1.3667      ,   0.6364      ,  66      
66,0.410122763411552,0.0102343788252807,8,23,   0.3000      ,   0.9302      ,  43      
None,0.410122763411552,0.0102343788252807,4,0,   1.9667      ,   0.5517      ,  87      
None,0.410122763411552,0.0102343788252807,4,1,   2.9000      ,   0.4000      , 110      
None,0.410122763411552,0.0102343788252807,4,2,   1.6000      ,   0.5882      ,  68      
None,0.410122763411552,0.0102343788252807,4,3,   3.3000      ,   0.3211      , 109      
None,0.410122763411552,0.0102343788252807,4,4,   1.5000      ,   0.5082      ,  61      
None,0.410122763411552,0.0102343788252807,4,5,   1.2000      ,   0.6957      ,  46      
None,0.410122763411552,0.0102343788252807,4,6,   1.8000      ,   0.5500      ,  80      
None,0.410122763411552,0.0102343788252807,4,7,   2.3667      ,   0.4286      ,  84      
None,0.410122763411552,0.0102343788252807,4,8,   1.8667      ,   0.4928      ,  69      
None,0.410122763411552,0.0102343788252807,4,9,   2.3333      ,   0.4054      ,  74      
None,0.410122763411552,0.0102343788252807,4,10,   1.6333      ,   0.4643      ,  56      
None,0.410122763411552,0.0102343788252807,4,11,   2.0667      ,   0.5176      ,  85      
None,0.410122763411552,0.0102343788252807,4,12,   1.1667      ,   0.6600      ,  50      
None,0.410122763411552,0.0102343788252807,4,13,   2.0000      ,   0.4458      ,  83      
None,0.410122763411552,0.0102343788252807,4,14,   1.3333      ,   0.6207      ,  58      
None,0.410122763411552,0.0102343788252807,4,15,   0.8000      ,   0.6757      ,  37      
None,0.410122763411552,0.0102343788252807,4,16,   0.9333      ,   0.6875      ,  48      
None,0.410122763411552,0.0102343788252807,4,17,   0.6667      ,   0.7736      ,  53      
None,0.410122763411552,0.0102343788252807,4,18,   0.7667      ,   0.8000      ,  50      
None,0.410122763411552,0.0102343788252807,4,19,   1.1000      ,   0.6724      ,  58      
None,0.410122763411552,0.0102343788252807,4,20,   3.0667      ,   0.3107      , 103      
None,0.410122763411552,0.0102343788252807,4,21,   1.4000      ,   0.5789      ,  57      
None,0.410122763411552,0.0102343788252807,4,22,   2.2667      ,   0.4286      ,  84      
None,0.410122763411552,0.0102343788252807,4,23,   0.9667      ,   0.6744      ,  43      
None,0,0,1,0,   4.4667      ,   0.2787      , 183      
None,0,0,1,1,   4.5333      ,   0.2932      , 191      
None,0,0,1,2,   3.0000      ,   0.3885      , 139      
None,0,0,1,3,   6.2333      ,   0.2121      , 231      
None,0,0,1,4,   3.1333      ,   0.2769      , 130      
None,0,0,1,5,   3.5333      ,   0.2980      , 151      
None,0,0,1,6,   4.4667      ,   0.2737      , 179      
None,0,0,1,7,   4.5000      ,   0.2692      , 182      
None,0,0,1,8,   4.0333      ,   0.2814      , 167      
None,0,0,1,9,   4.8667      ,   0.2408      , 191      
None,0,0,1,10,   3.5333      ,   0.2695      , 141      
None,0,0,1,11,   4.7667      ,   0.2792      , 197      
None,0,0,1,12,   3.6000      ,   0.2671      , 146      
None,0,0,1,13,   4.9333      ,   0.2086      , 187      
None,0,0,1,14,   4.4667      ,   0.2542      , 177      
None,0,0,1,15,   2.4667      ,   0.2952      , 105      
None,0,0,1,16,   2.8000      ,   0.2759      , 116      
None,0,0,1,17,   2.9667      ,   0.2810      , 121      
None,0,0,1,18,   2.8000      ,   0.3306      , 121      
None,0,0,1,19,   2.9000      ,   0.3561      , 132      
None,0,0,1,20,   4.7667      ,   0.2593      , 189      
None,0,0,1,21,   3.9000      ,   0.2785      , 158      
None,0,0,1,22,   3.8333      ,   0.3000      , 160      
None,0,0,1,23,   3.1333      ,   0.2923      , 130      
