MAX_SIZE,z_RHO,z_MU,j,dag,nshd_c,tpr_c,size
66,0,0.220018032970804,6,4,   1.7000      ,   0.4167      ,  48      
66,0,0.220018032970804,6,5,   1.2667      ,   0.5962      ,  52      
66,0,0.220018032970804,6,6,   2.1333      ,   0.4082      ,  49      
66,0,0.220018032970804,6,7,   1.6000      ,   0.5714      ,  56      
66,0,0.220018032970804,6,8,   1.4333      ,   0.6226      ,  53      
66,0,0.220018032970804,6,9,   2.0000      ,   0.3725      ,  51      
66,0,0.220018032970804,6,10,   1.3333      ,   0.5455      ,  44      
66,0,0.220018032970804,6,11,   2.3000      ,   0.3774      ,  53      
66,0,0.220018032970804,6,12,   1.1000      ,   0.6600      ,  50      
66,0,0.220018032970804,6,13,   1.4667      ,   0.5192      ,  52      
66,0,0.220018032970804,6,14,   1.3333      ,   0.6327      ,  49      
66,0,0.220018032970804,6,15,   1.3333      ,   0.4082      ,  49      
66,0,0.220018032970804,6,16,   0.9000      ,   0.6471      ,  51      
66,0,0.220018032970804,6,17,   1.0000      ,   0.6471      ,  51      
66,0,0.220018032970804,6,18,   1.5333      ,   0.5000      ,  50      
66,0,0.220018032970804,6,19,   1.7667      ,   0.4400      ,  50      
66,0,0.220018032970804,6,20,   2.3667      ,   0.2800      ,  50      
66,0,0.220018032970804,6,21,   0.9333      ,   0.7400      ,  50      
66,0,0.220018032970804,6,22,   2.3000      ,   0.3273      ,  55      
66,0,0.220018032970804,6,23,   0.9000      ,   0.7021      ,  47      
None,0,0.220018032970804,2,0,   2.3667      ,   0.3235      ,  34      
None,0,0.220018032970804,2,1,   2.3333      ,   0.3214      ,  28      
None,0,0.220018032970804,2,2,   1.9667      ,   0.5000      ,  16      
None,0,0.220018032970804,2,3,   2.3333      ,   0.2308      ,  26      
None,0,0.220018032970804,2,4,   1.6333      ,   0.3125      ,  16      
None,0,0.220018032970804,2,5,   1.7667      ,   0.3636      ,  11      
None,0,0.220018032970804,2,6,   2.1667      ,   0.2500      ,  20      
None,0,0.220018032970804,2,7,   2.1000      ,   0.2857      ,  14      
None,0,0.220018032970804,2,8,   2.1000      ,   0.2667      ,  15      
None,0,0.220018032970804,2,9,   2.0000      ,   0.3750      ,  16      
None,0,0.220018032970804,2,10,   1.5667      ,   0.5000      ,  12      
None,0,0.220018032970804,2,11,   2.4333      ,   0.1429      ,  14      
None,0,0.220018032970804,2,12,   1.7000      ,   0.2857      ,   7      
None,0,0.220018032970804,2,13,   1.9667      ,   0.1429      ,  14      
None,0,0.220018032970804,2,14,   1.9667      ,   0.2857      ,  14      
None,0,0.220018032970804,2,15,   1.4333      ,   0.0000      ,   6      
None,0,0.220018032970804,2,16,   1.6333      ,   0.3000      ,  10      
None,0,0.220018032970804,2,17,   1.5667      ,   0.3846      ,  13      
None,0,0.220018032970804,2,18,   1.8667      ,   0.2500      ,   8      
None,0,0.220018032970804,2,19,   1.8667      ,   0.2000      ,  10      
None,0,0.220018032970804,2,20,   2.4333      ,   0.1379      ,  29      
None,0,0.220018032970804,2,21,   1.9000      ,   0.2727      ,  11      
None,0,0.220018032970804,2,22,   2.1333      ,   0.2000      ,  20      
None,0,0.220018032970804,2,23,   1.5667      ,   0.2222      ,   9      
None,0.0280244755372679,0.220018032970804,4,0,   2.2000      ,   0.4474      ,  38      
None,0.0280244755372679,0.220018032970804,4,1,   2.3667      ,   0.3243      ,  37      
None,0.0280244755372679,0.220018032970804,4,2,   1.9000      ,   0.5625      ,  16      
None,0.0280244755372679,0.220018032970804,4,3,   2.8000      ,   0.2549      ,  51      
None,0.0280244755372679,0.220018032970804,4,4,   1.4667      ,   0.4444      ,  18      
None,0.0280244755372679,0.220018032970804,4,5,   1.8333      ,   0.3333      ,  15      
None,0.0280244755372679,0.220018032970804,4,6,   2.2000      ,   0.3043      ,  23      
None,0.0280244755372679,0.220018032970804,4,7,   2.2000      ,   0.1765      ,  17      
